match_date,team_1,team_2,t1_points,t2_points,team_1_elo,team_2_elo
2016-04-28,DIGNITAS,SELFLESS,2,0,1525.912866053211,1464.9384031432116
2016-04-29,VIRTUS.PRO,HELLRAISERS,0,2,1437.9456886124606,1488.7161788839508
2016-04-29,FAZE,MOUSESPORTS,0,2,1456.448466988937,1550.6247405637305
2016-04-29,TEMPO STORM,DIGNITAS,2,1,1486.9960899041278,1507.2868911872388
2016-04-30,CLOUD9,LUMINOSITY,0,2,1527.0358549001999,1651.7532981756312
2016-04-30,TEMPO STORM,VIRTUS.PRO,3,2,1500.7521240920116,1424.1896544245767
2016-05-01,LIQUID,CLG,0,2,1531.8124366827335,1484.5539339027025
2016-05-03,FNATIC,ENVY,2,0,1571.5884936339214,1403.2219920339376
2016-05-03,ASTRALIS,ENVY,2,0,1606.4310251510292,1395.3769354108413
2016-05-04,LIQUID,LUMINOSITY,0,2,1521.1264753951823,1662.4392594631825
2016-05-04,LUMINOSITY,CLG,2,0,1670.8952875540301,1476.0979058118548
2016-05-04,FNATIC,NIP,0,2,1555.9189104595264,1594.43400722538
2016-05-04,FAZE,G2,2,1,1473.4005497944518,1460.195053135385
2016-05-05,FAZE,DIGNITAS,2,1,1490.9561440114485,1489.731296970242
2016-05-05,LUMINOSITY,OPTIC,2,0,1679.0965852878076,1477.6257108953516
2016-05-05,MOUSESPORTS,G2,1,2,1530.5518585132306,1480.2679351858849
2016-05-06,CLG,CLOUD9,1,16,1462.4270209321585,1540.7067397798962
2016-05-07,LUMINOSITY,CLOUD9,16,3,1689.0404436270655,1530.7628814406382
2016-05-07,TEMPO STORM,LIQUID,16,10,1517.6893235796501,1504.1892759075438
2016-05-07,CLOUD9,CLG,2,1,1543.6558614043488,1449.5340409684477
2016-05-08,TEMPO STORM,CLOUD9,2,1,1534.8829053254663,1526.4622796585327
2016-05-08,FNATIC,DIGNITAS,2,1,1568.907203487607,1476.7430039421615
2016-05-08,LUMINOSITY,LIQUID,2,0,1697.2493666454077,1495.9803528892016
2016-05-08,TEMPO STORM,LUMINOSITY,0,2,1525.8595142667423,1706.2727577041317
2016-05-09,NIP,DIGNITAS,2,0,1605.2123466471767,1465.9646645203647
2016-05-09,ASTRALIS,NIP,0,2,1590.3749031620728,1621.268468636133
